"SN","Contract No.","Buyer","Seller","Quantity","Rate","Amount"
"1","2024012501000096","33","58","10","456.00","4,560.00"
"2","2024012501000098","33","17","10","456.00","4,560.00"
"3","2024012501000106","72","34","10","457.00","4,570.00"
"4","2024012501000107","72","58","10","457.00","4,570.00"
"5","2024012501000121","72","44","10","457.40","4,574.00"
"6","2024012501000171","52","58","10","456.30","4,563.00"
"7","2024012501000251","34","57","10","456.50","4,565.00"
"8","2024012501000259","34","58","10","456.50","4,565.00"
"9","2024012501000307","52","45","10","456.60","4,566.00"
"10","2024012501000308","52","17","10","456.60","4,566.00"
"11","2024012501000310","52","34","10","456.60","4,566.00"
"12","2024012501000316","52","45","10","456.60","4,566.00"
"13","2024012501000343","52","32","10","456.60","4,566.00"
"14","2024012501000433","52","56","10","456.60","4,566.00"
"15","2024012501000465","52","45","10","456.60","4,566.00"
"16","2024012501000620","52","20","10","456.60","4,566.00"
"17","2024012501000622","52","17","10","456.60","4,566.00"
"18","2024012501000628","52","45","10","456.60","4,566.00"
"19","2024012501000647","52","47","10","456.60","4,566.00"
"20","2024012501000715","34","35","10","456.50","4,565.00"
"21","2024012501000732","34","41","10","456.50","4,565.00"
"22","2024012501000738","34","59","10","456.50","4,565.00"
"23","2024012501000803","34","42","10","456.50","4,565.00"
"24","2024012501000856","34","35","10","456.50","4,565.00"
"25","2024012501000905","34","54","10","456.50","4,565.00"
"26","2024012501000914","34","45","10","456.50","4,565.00"
"27","2024012501000916","34","58","10","456.50","4,565.00"
"28","2024012501000938","45","32","10","456.50","4,565.00"
"29","2024012501000983","45","26","10","456.50","4,565.00"
"30","2024012501000986","45","36","10","456.50","4,565.00"
"31","2024012501001000","22","52","10","456.60","4,566.00"
"32","2024012501001001","22","58","10","456.60","4,566.00"
"33","2024012501001016","45","56","10","456.50","4,565.00"
"34","2024012501001059","45","38","10","456.50","4,565.00"
"35","2024012501001074","45","49","10","456.50","4,565.00"
"36","2024012501001095","45","46","10","456.50","4,565.00"
"37","2024012501001100","45","38","10","456.50","4,565.00"
"38","2024012501001113","14","49","10","456.50","4,565.00"
"39","2024012501001144","14","56","10","456.50","4,565.00"
"40","2024012501001211","14","59","10","456.50","4,565.00"
"41","2024012501001234","14","45","10","456.50","4,565.00"
"42","2024012501001245","14","45","10","456.50","4,565.00"
"43","2024012501001250","14","59","10","456.50","4,565.00"
"44","2024012501001259","14","25","10","456.50","4,565.00"
"45","2024012501001289","14","58","10","456.50","4,565.00"
